,date,county,Population,cases,Minority_pct,Hotspot,Hotspot_in_2_weeks
0,2021-07-01,Alamance,175029.0,19035,0.3825,False,False
100,2021-07-02,Alamance,175029.0,19042,0.3825,False,False
200,2021-07-03,Alamance,175029.0,19042,0.3825,False,False
300,2021-07-04,Alamance,175029.0,19042,0.3825,False,False
400,2021-07-05,Alamance,175029.0,19042,0.3825,False,False
500,2021-07-06,Alamance,175029.0,19065,0.3825,False,True
600,2021-07-07,Alamance,175029.0,19069,0.3825,False,True
700,2021-07-08,Alamance,175029.0,19078,0.3825,False,True
791,2021-07-09,Alamance,175029.0,19078,0.3825,False,True
886,2021-07-10,Alamance,175029.0,19078,0.3825,False,True
981,2021-07-11,Alamance,175029.0,19078,0.3825,False,True
1076,2021-07-12,Alamance,175029.0,19106,0.3825,False,True
1171,2021-07-13,Alamance,175029.0,19108,0.3825,False,True
1268,2021-07-14,Alamance,175029.0,19124,0.3825,False,True
1366,2021-07-15,Alamance,175029.0,19132,0.3825,False,True
1465,2021-07-16,Alamance,175029.0,19149,0.3825,False,True
1565,2021-07-17,Alamance,175029.0,19149,0.3825,False,True
1665,2021-07-18,Alamance,175029.0,19149,0.3825,False,True
1765,2021-07-19,Alamance,175029.0,19182,0.3825,False,True
1864,2021-07-20,Alamance,175029.0,19197,0.3825,True,True
1963,2021-07-21,Alamance,175029.0,19221,0.3825,True,True
2063,2021-07-22,Alamance,175029.0,19240,0.3825,True,True
2163,2021-07-23,Alamance,175029.0,19252,0.3825,True,True
2263,2021-07-24,Alamance,175029.0,19252,0.3825,True,True
2363,2021-07-25,Alamance,175029.0,19252,0.3825,True,True
2463,2021-07-26,Alamance,175029.0,19300,0.3825,True,True
2563,2021-07-27,Alamance,175029.0,19323,0.3825,True,True
2663,2021-07-28,Alamance,175029.0,19345,0.3825,True,True
2763,2021-07-29,Alamance,175029.0,19368,0.3825,True,True
2863,2021-07-30,Alamance,175029.0,19413,0.3825,True,True
2963,2021-07-31,Alamance,175029.0,19413,0.3825,True,True
3063,2021-08-01,Alamance,175029.0,19413,0.3825,True,True
3163,2021-08-02,Alamance,175029.0,19516,0.3825,True,True
3263,2021-08-03,Alamance,175029.0,19552,0.3825,True,True
3363,2021-08-04,Alamance,175029.0,19607,0.3825,True,True
3463,2021-08-05,Alamance,175029.0,19649,0.3825,True,True
3563,2021-08-06,Alamance,175029.0,19697,0.3825,True,True
3663,2021-08-07,Alamance,175029.0,19697,0.3825,True,True
3763,2021-08-08,Alamance,175029.0,19697,0.3825,True,True
3863,2021-08-09,Alamance,175029.0,19906,0.3825,True,True
3963,2021-08-10,Alamance,175029.0,19945,0.3825,True,True
4063,2021-08-11,Alamance,175029.0,20012,0.3825,True,True
4163,2021-08-12,Alamance,175029.0,20079,0.3825,True,True
4263,2021-08-13,Alamance,175029.0,20202,0.3825,True,True
4363,2021-08-14,Alamance,175029.0,20202,0.3825,True,True
4463,2021-08-15,Alamance,175029.0,20202,0.3825,True,True
4563,2021-08-16,Alamance,175029.0,20380,0.3825,True,True
4663,2021-08-17,Alamance,175029.0,20422,0.3825,True,True
4763,2021-08-18,Alamance,175029.0,20505,0.3825,True,True
4863,2021-08-19,Alamance,175029.0,20641,0.3825,True,True
4963,2021-08-20,Alamance,175029.0,20735,0.3825,True,True
5063,2021-08-21,Alamance,175029.0,20735,0.3825,True,True
5163,2021-08-22,Alamance,175029.0,20735,0.3825,True,True
5263,2021-08-23,Alamance,175029.0,20954,0.3825,True,True
5363,2021-08-24,Alamance,175029.0,21022,0.3825,True,True
5463,2021-08-25,Alamance,175029.0,21083,0.3825,True,True
5563,2021-08-26,Alamance,175029.0,21220,0.3825,True,True
5663,2021-08-27,Alamance,175029.0,21332,0.3825,True,True
5763,2021-08-28,Alamance,175029.0,21332,0.3825,True,True
5863,2021-08-29,Alamance,175029.0,21332,0.3825,True,True
5963,2021-08-30,Alamance,175029.0,21680,0.3825,True,True
6063,2021-08-31,Alamance,175029.0,21733,0.3825,True,True
6163,2021-09-01,Alamance,175029.0,21835,0.3825,True,True
6263,2021-09-02,Alamance,175029.0,21966,0.3825,True,True
6363,2021-09-03,Alamance,175029.0,22091,0.3825,True,True
6463,2021-09-04,Alamance,175029.0,22091,0.3825,True,True
6563,2021-09-05,Alamance,175029.0,22091,0.3825,True,True
6663,2021-09-06,Alamance,175029.0,22091,0.3825,True,True
6763,2021-09-07,Alamance,175029.0,22485,0.3825,True,True
6863,2021-09-08,Alamance,175029.0,22594,0.3825,True,True
6963,2021-09-09,Alamance,175029.0,22690,0.3825,True,True
7063,2021-09-10,Alamance,175029.0,22767,0.3825,True,True
7163,2021-09-11,Alamance,175029.0,22767,0.3825,True,True
7263,2021-09-12,Alamance,175029.0,22767,0.3825,True,True
7363,2021-09-13,Alamance,175029.0,23168,0.3825,True,True
7463,2021-09-14,Alamance,175029.0,23234,0.3825,True,True
7563,2021-09-15,Alamance,175029.0,23408,0.3825,True,True
7663,2021-09-16,Alamance,175029.0,23534,0.3825,True,True
7763,2021-09-17,Alamance,175029.0,23669,0.3825,True,True
7863,2021-09-18,Alamance,175029.0,23669,0.3825,True,True
7963,2021-09-19,Alamance,175029.0,23669,0.3825,True,True
8063,2021-09-20,Alamance,175029.0,23980,0.3825,True,True
8163,2021-09-21,Alamance,175029.0,24030,0.3825,True,True
8263,2021-09-22,Alamance,175029.0,24156,0.3825,True,True
8363,2021-09-23,Alamance,175029.0,24258,0.3825,True,True
8463,2021-09-24,Alamance,175029.0,24359,0.3825,True,True
8563,2021-09-25,Alamance,175029.0,24359,0.3825,True,True
8663,2021-09-26,Alamance,175029.0,24359,0.3825,True,True
8763,2021-09-27,Alamance,175029.0,24632,0.3825,True,True
8863,2021-09-28,Alamance,175029.0,24717,0.3825,True,True
