,date,county,Population,cases,Hotspot
0,2021-07-01,Alamance,175029.0,19035,False
100,2021-07-02,Alamance,175029.0,19042,False
200,2021-07-03,Alamance,175029.0,19042,False
300,2021-07-04,Alamance,175029.0,19042,False
400,2021-07-05,Alamance,175029.0,19042,False
500,2021-07-06,Alamance,175029.0,19065,False
600,2021-07-07,Alamance,175029.0,19069,False
700,2021-07-08,Alamance,175029.0,19078,False
791,2021-07-09,Alamance,175029.0,19078,False
886,2021-07-10,Alamance,175029.0,19078,False
981,2021-07-11,Alamance,175029.0,19078,False
1076,2021-07-12,Alamance,175029.0,19106,False
1171,2021-07-13,Alamance,175029.0,19108,False
1268,2021-07-14,Alamance,175029.0,19124,False
1366,2021-07-15,Alamance,175029.0,19132,False
1465,2021-07-16,Alamance,175029.0,19149,False
1565,2021-07-17,Alamance,175029.0,19149,False
1665,2021-07-18,Alamance,175029.0,19149,False
1765,2021-07-19,Alamance,175029.0,19182,False
1864,2021-07-20,Alamance,175029.0,19197,True
1963,2021-07-21,Alamance,175029.0,19221,True
2063,2021-07-22,Alamance,175029.0,19240,True
2163,2021-07-23,Alamance,175029.0,19252,True
2263,2021-07-24,Alamance,175029.0,19252,True
2363,2021-07-25,Alamance,175029.0,19252,True
2463,2021-07-26,Alamance,175029.0,19300,True
2563,2021-07-27,Alamance,175029.0,19323,True
2663,2021-07-28,Alamance,175029.0,19345,True
2763,2021-07-29,Alamance,175029.0,19368,True
2863,2021-07-30,Alamance,175029.0,19413,True
2963,2021-07-31,Alamance,175029.0,19413,True
3063,2021-08-01,Alamance,175029.0,19413,True
3163,2021-08-02,Alamance,175029.0,19516,True
3263,2021-08-03,Alamance,175029.0,19552,True
3363,2021-08-04,Alamance,175029.0,19607,True
3463,2021-08-05,Alamance,175029.0,19649,True
3563,2021-08-06,Alamance,175029.0,19697,True
3663,2021-08-07,Alamance,175029.0,19697,True
3763,2021-08-08,Alamance,175029.0,19697,True
3863,2021-08-09,Alamance,175029.0,19906,True
3963,2021-08-10,Alamance,175029.0,19945,True
4063,2021-08-11,Alamance,175029.0,20012,True
4163,2021-08-12,Alamance,175029.0,20079,True
4263,2021-08-13,Alamance,175029.0,20202,True
4363,2021-08-14,Alamance,175029.0,20202,True
4463,2021-08-15,Alamance,175029.0,20202,True
4563,2021-08-16,Alamance,175029.0,20380,True
4663,2021-08-17,Alamance,175029.0,20422,True
4763,2021-08-18,Alamance,175029.0,20505,True
4863,2021-08-19,Alamance,175029.0,20641,True
4963,2021-08-20,Alamance,175029.0,20735,True
5063,2021-08-21,Alamance,175029.0,20735,True
5163,2021-08-22,Alamance,175029.0,20735,True
5263,2021-08-23,Alamance,175029.0,20954,True
5363,2021-08-24,Alamance,175029.0,21022,True
5463,2021-08-25,Alamance,175029.0,21083,True
5563,2021-08-26,Alamance,175029.0,21220,True
5663,2021-08-27,Alamance,175029.0,21332,True
5763,2021-08-28,Alamance,175029.0,21332,True
5863,2021-08-29,Alamance,175029.0,21332,True
5963,2021-08-30,Alamance,175029.0,21680,True
6063,2021-08-31,Alamance,175029.0,21733,True
6163,2021-09-01,Alamance,175029.0,21835,True
6263,2021-09-02,Alamance,175029.0,21966,True
6363,2021-09-03,Alamance,175029.0,22091,True
6463,2021-09-04,Alamance,175029.0,22091,True
6563,2021-09-05,Alamance,175029.0,22091,True
6663,2021-09-06,Alamance,175029.0,22091,True
6763,2021-09-07,Alamance,175029.0,22485,True
6863,2021-09-08,Alamance,175029.0,22594,True
6963,2021-09-09,Alamance,175029.0,22690,True
7063,2021-09-10,Alamance,175029.0,22767,True
7163,2021-09-11,Alamance,175029.0,22767,True
7263,2021-09-12,Alamance,175029.0,22767,True
7363,2021-09-13,Alamance,175029.0,23168,True
7463,2021-09-14,Alamance,175029.0,23234,True
7563,2021-09-15,Alamance,175029.0,23408,True
