,Population,region_Central,region_Eastern,region_Western,pop_dens,hotspot_prop_binary
0,175029,False,False,False,404.8,True
1,36172,False,False,False,140.2,True
2,11057,False,False,False,46.4,False
3,22028,True,False,False,41.5,True
4,26506,False,False,False,62.3,True
5,17347,False,False,True,72.0,False
6,44150,False,False,False,53.6,False
7,17302,False,False,False,25.7,False
8,29171,False,False,False,33.8,True
9,144821,False,False,False,160.8,False
10,271638,False,False,True,410.4,True
11,88398,False,False,True,173.0,True
12,232873,True,False,False,625.1,True
13,81319,False,False,False,170.9,True
14,10537,False,False,False,43.1,False
15,69039,False,False,False,133.3,True
16,22400,False,True,False,53.5,False
17,162841,False,False,False,400.2,True
18,77095,False,True,False,111.9,False
19,28738,False,False,True,63.2,False
20,13646,False,False,False,79.4,True
21,11238,False,False,True,51.6,False
22,99332,False,False,True,214.4,True
23,49795,False,False,False,54.0,True
24,102568,False,False,False,142.5,False
25,341793,False,True,False,512.9,True
26,29385,False,False,False,107.3,True
27,37817,False,False,False,96.3,True
28,171752,False,False,False,305.4,True
29,43127,False,False,False,162.0,True
30,48249,False,False,False,59.8,True
31,331347,False,True,False,1133.7,False
32,48604,False,False,False,96.7,False
33,387703,False,False,False,938.1,True
34,70655,False,True,False,139.4,True
35,233387,True,False,False,640.7,True
36,10324,False,False,False,30.8,False
37,7935,False,False,True,27.5,True
38,60720,False,True,False,114.6,True
39,19978,False,False,False,76.7,False
40,545484,False,False,False,838.0,True
41,47859,False,False,False,67.2,False
42,134986,False,True,False,224.5,False
43,62831,False,False,True,112.2,True
44,117429,False,False,True,311.8,True
45,20374,False,False,False,61.0,False
46,53783,False,True,False,133.5,True
47,4595,False,False,False,7.5,False
48,192986,False,False,False,325.0,True
49,41919,False,False,True,87.8,True
50,224833,False,False,False,272.7,True
51,9076,False,False,False,19.5,False
52,64360,False,True,False,248.1,False
53,54323,False,False,False,138.1,False
54,88742,True,False,False,293.4,True
55,37041,False,False,True,71.8,False
56,21146,False,False,True,47.1,True
57,21503,False,False,False,48.3,True
58,44151,False,False,True,101.3,False
59,1128426,True,False,False,2130.4,True
60,14783,False,False,True,67.4,True
61,25485,False,True,False,52.4,True
62,102966,False,True,False,142.9,False
63,96101,False,False,False,175.7,False
64,230423,False,False,False,1174.0,False
65,16953,False,True,False,32.6,False
66,207928,False,False,False,268.4,True
67,148331,False,True,False,374.0,False
68,12215,False,False,False,36.5,False
69,40966,False,False,False,178.8,True
70,62250,False,False,False,69.1,False
71,13049,False,False,False,52.6,True
72,39048,False,True,False,99.7,False
73,173536,False,False,False,261.0,False
74,19461,False,False,True,81.3,True
75,143325,False,False,False,184.3,True
76,43006,False,True,False,90.7,True
77,115899,False,False,False,123.0,True
78,90457,False,False,False,161.0,True
79,148565,False,False,False,287.1,True
80,63870,False,False,True,114.0,True
81,58371,False,False,False,62.4,True
82,33662,False,True,False,107.1,False
83,62143,True,False,False,158.2,True
84,44422,False,False,False,99.1,True
85,70573,False,False,False,134.0,True
86,14046,False,False,True,26.8,False
87,32825,False,False,True,87.2,False
88,3315,False,False,False,8.3,True
89,244960,True,False,False,376.6,True
90,41665,False,True,False,168.7,True
91,1154170,False,True,False,1353.3,False
92,18621,False,True,False,43.4,False
93,10708,False,False,False,31.8,False
94,54804,False,False,False,173.1,False
95,115895,False,False,False,211.8,True
96,65151,False,False,False,87.5,True
97,79078,False,False,False,214.3,False
98,36925,False,False,False,111.1,True
99,18320,False,False,True,59.1,True
