,county,date_number,Population,region,pop_dens,tranlevel
18100,Alamance,1,175029.0,Northern,404.8,Moderate
18182,Scotland,1,33662.0,Eastern,107.1,Moderate
18131,Durham,1,331347.0,Eastern,1133.7,Moderate
18110,Buncombe,1,271638.0,Western,410.4,Low
18181,Sampson,1,58371.0,Coastal,62.4,Moderate
18144,Henderson,1,117429.0,Western,311.8,Error
18136,Gates,1,10324.0,Coastal,30.8,Error
18135,Gaston,1,233387.0,Central,640.7,Low
18180,Rutherford,1,63870.0,Western,114.0,Moderate
18111,Burke,1,88398.0,Western,173.0,Moderate
18179,Rowan,1,148565.0,Northern,287.1,Moderate
18199,Yancey,1,18320.0,Western,59.1,Error
18178,Rockingham,1,90457.0,Northern,161.0,Moderate
18112,Cabarrus,1,232873.0,Central,625.1,Moderate
18130,Duplin,1,48249.0,Coastal,59.8,Moderate
18145,Hertford,1,20374.0,Coastal,61.0,Moderate
18177,Robeson,1,115899.0,Coastal,123.0,Substantial
18198,Yadkin,1,36925.0,Northern,111.1,Low
18146,Hoke,1,53783.0,Eastern,133.5,Moderate
18176,Richmond,1,43006.0,Eastern,90.7,Moderate
18175,Randolph,1,143325.0,Northern,184.3,Moderate
18114,Camden,1,10537.0,Coastal,43.1,Moderate
18174,Polk,1,19461.0,Western,81.3,Low
18173,Pitt,1,173536.0,Coastal,261.0,Moderate
18129,Davie,1,43127.0,Northern,162.0,Low
18147,Hyde,1,4595.0,Coastal,7.5,Low
18115,Carteret,1,69039.0,Coastal,133.3,Moderate
18172,Person,1,39048.0,Eastern,99.7,Moderate
18148,Iredell,1,192986.0,Northern,325.0,Moderate
18171,Perquimans,1,13049.0,Coastal,52.6,Low
18183,Stanly,1,62143.0,Central,158.2,Error
18109,Brunswick,1,144821.0,Coastal,160.8,Low
18143,Haywood,1,62831.0,Western,112.2,Error
18184,Stokes,1,44422.0,Northern,99.1,Low
18137,Graham,1,7935.0,Western,27.5,Substantial
18197,Wilson,1,79078.0,Coastal,214.3,Substantial
18102,Alleghany,1,11057.0,Northern,46.4,Low
18196,Wilkes,1,65151.0,Northern,87.5,Moderate
18195,Wayne,1,115895.0,Coastal,211.8,Moderate
18134,Franklin,1,70655.0,Eastern,139.4,Error
18103,Anson,1,22028.0,Central,41.5,Moderate
18138,Granville,1,60720.0,Eastern,114.6,Moderate
18194,Watauga,1,54804.0,Northern,173.1,Moderate
18193,Washington,1,10708.0,Coastal,31.8,Substantial
18139,Greene,1,19978.0,Coastal,76.7,Error
18104,Ashe,1,26506.0,Northern,62.3,Low
18192,Warren,1,18621.0,Eastern,43.4,Moderate
18191,Wake,1,1154170.0,Eastern,1353.3,Moderate
18116,Caswell,1,22400.0,Eastern,53.5,Moderate
18105,Avery,1,17347.0,Western,72.0,Moderate
18190,Vance,1,41665.0,Eastern,168.7,Low
18140,Guilford,1,545484.0,Northern,838.0,Moderate
18101,Alexander,1,36172.0,Northern,140.2,Moderate
18189,Union,1,244960.0,Central,376.6,Moderate
18106,Beaufort,1,44150.0,Coastal,53.6,Moderate
18141,Halifax,1,47859.0,Coastal,67.2,Moderate
18188,Tyrrell,1,3315.0,Coastal,8.3,Low
18107,Bertie,1,17302.0,Coastal,25.7,Low
18187,Transylvania,1,32825.0,Western,87.2,Error
18132,Edgecombe,1,48604.0,Coastal,96.7,Low
18186,Swain,1,14046.0,Western,26.8,Moderate
18108,Bladen,1,29171.0,Coastal,33.8,High
18142,Harnett,1,134986.0,Eastern,224.5,Moderate
18185,Surry,1,70573.0,Northern,134.0,Moderate
18133,Forsyth,1,387703.0,Northern,938.1,Moderate
18170,Pender,1,62250.0,Coastal,69.1,Low
18113,Caldwell,1,81319.0,Northern,170.9,Low
18169,Pasquotank,1,40966.0,Coastal,178.8,Low
18123,Columbus,1,49795.0,Coastal,54.0,Moderate
18166,Onslow,1,207928.0,Coastal,268.4,Moderate
18119,Cherokee,1,28738.0,Western,63.2,Moderate
18154,Lincoln,1,88742.0,Central,293.4,Moderate
18158,McDowell,1,44151.0,Western,101.3,Error
18165,Northampton,1,16953.0,Eastern,32.6,Error
18127,Dare,1,37817.0,Coastal,96.3,Moderate
18164,New Hanover,1,230423.0,Coastal,1174.0,Moderate
18151,Jones,1,9076.0,Coastal,19.5,Error
18159,Mecklenburg,1,1128426.0,Central,2130.4,Moderate
18120,Chowan,1,13646.0,Coastal,79.4,Low
18153,Lenoir,1,54323.0,Coastal,138.1,Moderate
