,date,county,state,fips,cases,deaths,daily_change,weekly_change
589469,2021-07-01,Alamance,North Carolina,37001.0,19035,289.0,0.0,0.0
589470,2021-07-01,Alexander,North Carolina,37003.0,4456,84.0,0.0,0.0
589471,2021-07-01,Alleghany,North Carolina,37005.0,1095,5.0,0.0,0.0
589472,2021-07-01,Anson,North Carolina,37007.0,2637,56.0,0.0,0.0
589473,2021-07-01,Ashe,North Carolina,37009.0,2248,45.0,0.0,0.0
589474,2021-07-01,Avery,North Carolina,37011.0,2164,21.0,0.0,0.0
589475,2021-07-01,Beaufort,North Carolina,37013.0,4789,102.0,0.0,0.0
589476,2021-07-01,Bertie,North Carolina,37015.0,1794,45.0,0.0,0.0
589477,2021-07-01,Bladen,North Carolina,37017.0,3513,47.0,0.0,0.0
589478,2021-07-01,Brunswick,North Carolina,37019.0,9337,156.0,0.0,0.0
589479,2021-07-01,Buncombe,North Carolina,37021.0,18087,335.0,0.0,0.0
589480,2021-07-01,Burke,North Carolina,37023.0,10152,162.0,0.0,0.0
589481,2021-07-01,Cabarrus,North Carolina,37025.0,22378,262.0,0.0,0.0
589482,2021-07-01,Caldwell,North Carolina,37027.0,9525,111.0,0.0,0.0
589483,2021-07-01,Camden,North Carolina,37029.0,695,6.0,0.0,0.0
589484,2021-07-01,Carteret,North Carolina,37031.0,5261,55.0,0.0,0.0
589485,2021-07-01,Caswell,North Carolina,37033.0,2200,30.0,0.0,0.0
589486,2021-07-01,Catawba,North Carolina,37035.0,19814,311.0,0.0,0.0
589487,2021-07-01,Chatham,North Carolina,37037.0,4755,89.0,0.0,0.0
589488,2021-07-01,Cherokee,North Carolina,37039.0,2635,38.0,0.0,0.0
589489,2021-07-01,Chowan,North Carolina,37041.0,1488,34.0,0.0,0.0
589490,2021-07-01,Clay,North Carolina,37043.0,906,18.0,0.0,0.0
589491,2021-07-01,Cleveland,North Carolina,37045.0,11712,228.0,0.0,0.0
589492,2021-07-01,Columbus,North Carolina,37047.0,6461,152.0,0.0,0.0
589493,2021-07-01,Craven,North Carolina,37049.0,9470,126.0,0.0,0.0
589494,2021-07-01,Cumberland,North Carolina,37051.0,30324,322.0,0.0,0.0
589495,2021-07-01,Currituck,North Carolina,37053.0,1581,16.0,0.0,0.0
589496,2021-07-01,Dare,North Carolina,37055.0,2190,10.0,0.0,0.0
589497,2021-07-01,Davidson,North Carolina,37057.0,17034,197.0,0.0,0.0
589498,2021-07-01,Davie,North Carolina,37059.0,4179,40.0,0.0,0.0
589499,2021-07-01,Duplin,North Carolina,37061.0,6382,142.0,0.0,0.0
589500,2021-07-01,Durham,North Carolina,37063.0,25979,234.0,0.0,0.0
589501,2021-07-01,Edgecombe,North Carolina,37065.0,5703,113.0,0.0,0.0
589502,2021-07-01,Forsyth,North Carolina,37067.0,37028,422.0,0.0,0.0
589503,2021-07-01,Franklin,North Carolina,37069.0,7047,54.0,0.0,0.0
589504,2021-07-01,Gaston,North Carolina,37071.0,27187,441.0,0.0,0.0
589505,2021-07-01,Gates,North Carolina,37073.0,750,13.0,0.0,0.0
589506,2021-07-01,Graham,North Carolina,37075.0,666,13.0,0.0,0.0
589507,2021-07-01,Granville,North Carolina,37077.0,5991,83.0,0.0,0.0
589508,2021-07-01,Greene,North Carolina,37079.0,2418,47.0,0.0,0.0
589509,2021-07-01,Guilford,North Carolina,37081.0,48722,720.0,0.0,0.0
589510,2021-07-01,Halifax,North Carolina,37083.0,5687,114.0,0.0,0.0
589511,2021-07-01,Harnett,North Carolina,37085.0,12060,181.0,0.0,0.0
589512,2021-07-01,Haywood,North Carolina,37087.0,4496,99.0,0.0,0.0
589513,2021-07-01,Henderson,North Carolina,37089.0,10310,165.0,0.0,0.0
589514,2021-07-01,Hertford,North Carolina,37091.0,2116,64.0,0.0,0.0
589515,2021-07-01,Hoke,North Carolina,37093.0,4902,56.0,0.0,0.0
589516,2021-07-01,Hyde,North Carolina,37095.0,671,9.0,0.0,0.0
589517,2021-07-01,Iredell,North Carolina,37097.0,19279,236.0,0.0,0.0
589518,2021-07-01,Jackson,North Carolina,37099.0,3661,56.0,0.0,0.0
589519,2021-07-01,Johnston,North Carolina,37101.0,22280,237.0,0.0,0.0
589520,2021-07-01,Jones,North Carolina,37103.0,899,28.0,0.0,0.0
589521,2021-07-01,Lee,North Carolina,37105.0,6155,82.0,0.0,0.0
589522,2021-07-01,Lenoir,North Carolina,37107.0,6269,124.0,0.0,0.0
589523,2021-07-01,Lincoln,North Carolina,37109.0,10286,86.0,0.0,0.0
589524,2021-07-01,Macon,North Carolina,37113.0,3167,41.0,0.0,0.0
589525,2021-07-01,Madison,North Carolina,37115.0,1602,42.0,0.0,0.0
589526,2021-07-01,Martin,North Carolina,37117.0,2325,45.0,0.0,0.0
589527,2021-07-01,McDowell,North Carolina,37111.0,5291,63.0,0.0,0.0
589528,2021-07-01,Mecklenburg,North Carolina,37119.0,114680,975.0,0.0,0.0
589529,2021-07-01,Mitchell,North Carolina,37121.0,1479,16.0,0.0,0.0
589530,2021-07-01,Montgomery,North Carolina,37123.0,3383,97.0,0.0,0.0
589531,2021-07-01,Moore,North Carolina,37125.0,9062,194.0,0.0,0.0
589532,2021-07-01,Nash,North Carolina,37127.0,11709,197.0,0.0,0.0
589533,2021-07-01,New Hanover,North Carolina,37129.0,19557,175.0,0.0,0.0
589534,2021-07-01,Northampton,North Carolina,37131.0,1894,61.0,0.0,0.0
589535,2021-07-01,Onslow,North Carolina,37133.0,17891,154.0,0.0,0.0
589536,2021-07-01,Orange,North Carolina,37135.0,8596,101.0,0.0,0.0
589537,2021-07-01,Pamlico,North Carolina,37137.0,1119,13.0,0.0,0.0
589538,2021-07-01,Pasquotank,North Carolina,37139.0,3443,84.0,0.0,0.0
589539,2021-07-01,Pender,North Carolina,37141.0,5557,71.0,0.0,0.0
589540,2021-07-01,Perquimans,North Carolina,37143.0,1037,12.0,0.0,0.0
589541,2021-07-01,Person,North Carolina,37145.0,3511,71.0,0.0,0.0
589542,2021-07-01,Pitt,North Carolina,37147.0,20504,96.0,0.0,0.0
589543,2021-07-01,Polk,North Carolina,37149.0,1501,30.0,0.0,0.0
589544,2021-07-01,Randolph,North Carolina,37151.0,15346,232.0,0.0,0.0
589545,2021-07-01,Richmond,North Carolina,37153.0,4818,98.0,0.0,0.0
589546,2021-07-01,Robeson,North Carolina,37155.0,16880,271.0,0.0,0.0
589547,2021-07-01,Rockingham,North Carolina,37157.0,8099,156.0,0.0,0.0
589548,2021-07-01,Rowan,North Carolina,37159.0,17248,311.0,0.0,0.0
589549,2021-07-01,Rutherford,North Carolina,37161.0,7448,217.0,0.0,0.0
589550,2021-07-01,Sampson,North Carolina,37163.0,8160,114.0,0.0,0.0
589551,2021-07-01,Scotland,North Carolina,37165.0,3908,88.0,0.0,0.0
