"county","hotspot_prop","Population","pop_dens","Minority_pct","region","med_hhi","poverty_level","voter_turnout","acs_education","crime_per_100k","rucc","rucc_descript","rural_metro","date_count"
"Alamance",0.7677,175029,404.8,0.3825,"Northern",55078,0.144,0.78,0.253,3065.6,3,"Metro - Counties in metro areas of fewer than 250,000 population","Metro",1
"Alexander",0.8387,36172,140.2,0.1416,"Northern",55041,0.115,0.81,0.142,1440.7,2,"Metro - Counties in metro areas of 250,000 to 1 million population","Metro",1
"Alleghany",0.6774,11057,46.4,0.1234,"Northern",38930,0.215,0.8,0.208,697.2,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Rural",1
"Anson",0.7677,22028,41.5,0.5152,"Central",39862,0.183,0.67,0.111,2802.1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Nonmetro",1
"Ashe",0.7548,26506,62.3,0.0806,"Northern",43938,0.14,0.81,0.2,1123.1,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Nonmetro",1
"Avery",0.6774,17347,72,0.1157,"Western",46383,0.133,0.77,0.237,1003.4,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Rural",1
"Beaufort",0.7097,44150,53.6,0.3322,"Coastal",51894,0.187,0.77,0.207,2157.95,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Nonmetro",1
"Bertie",0.6516,17302,25.7,0.6465,"Coastal",37571,0.24,0.74,0.145,1594.6,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Nonmetro",1
"Bladen",0.8258,29171,33.8,0.4561,"Coastal",39259,0.246,0.75,0.182,2578.5,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Nonmetro",1
"Brunswick",0.6581,144821,160.8,0.1784,"Coastal",64400,0.102,0.79,0.295,1537.1,2,"Metro - Counties in metro areas of 250,000 to 1 million population","Metro",1
"Buncombe",0.8194,271638,410.4,0.1877,"Western",59699,0.109,0.78,0.414,3012.8,2,"Metro - Counties in metro areas of 250,000 to 1 million population","Metro",1
"Burke",0.7484,88398,173,0.2044,"Western",48142,0.181,0.77,0.167,1836.1,2,"Metro - Counties in metro areas of 250,000 to 1 million population","Metro",1
"Cabarrus",0.8258,232873,625.1,0.3899,"Central",75765,0.094,0.78,0.335,1374.8,1,"Metro - Counties in metro areas of 1 million population or more","Metro",1
"Caldwell",0.7742,81319,170.9,0.1462,"Northern",48549,0.134,0.78,0.158,2504.8,2,"Metro - Counties in metro areas of 250,000 to 1 million population","Metro",1
