,county,Population,cases,Minority_pct,Hotspot
0,Alamance,175029.0,19035,0.3825,False
1,Alexander,36172.0,4456,0.1416,False
2,Alleghany,11057.0,1095,0.1234,False
3,Anson,22028.0,2637,0.5152,False
4,Ashe,26506.0,2248,0.0806,False
5,Avery,17347.0,2164,0.1157,False
6,Beaufort,44150.0,4789,0.3322,False
7,Bertie,17302.0,1794,0.6465,False
8,Bladen,29171.0,3513,0.4561,False
9,Brunswick,144821.0,9337,0.1784,False
10,Buncombe,271638.0,18087,0.1877,False
11,Burke,88398.0,10152,0.2044,False
12,Cabarrus,232873.0,22378,0.3899,False
13,Caldwell,81319.0,9525,0.1462,False
14,Camden,10537.0,695,0.1973,False
15,Carteret,69039.0,5261,0.1393,False
16,Caswell,22400.0,2200,0.374,False
17,Catawba,162841.0,19814,0.2594,False
18,Chatham,77095.0,4755,0.2865,False
19,Cherokee,28738.0,2635,0.1089,False
20,Chowan,13646.0,1488,0.3908,False
21,Clay,11238.0,906,0.0847,False
22,Cleveland,99332.0,11712,0.2858,False
23,Columbus,49795.0,6461,0.3999,False
24,Craven,102568.0,9470,0.3377,False
25,Cumberland,341793.0,30324,0.576,False
26,Currituck,29385.0,1581,0.1502,False
27,Dare,37817.0,2190,0.1215,False
28,Davidson,171752.0,17034,0.2191,False
29,Davie,43127.0,4179,0.1726,False
30,Duplin,48249.0,6382,0.4646,False
31,Durham,331347.0,25979,0.5714,False
32,Edgecombe,48604.0,5703,0.6394,False
33,Forsyth,387703.0,37028,0.4384,False
34,Franklin,70655.0,7047,0.366,False
35,Gaston,233387.0,27187,0.3121,False
36,Gates,10324.0,750,0.3546,False
37,Graham,7935.0,666,0.1391,False
38,Granville,60720.0,5991,0.4331,False
39,Greene,19978.0,2418,0.5114,False
40,Guilford,545484.0,48722,0.5133,False
41,Halifax,47859.0,5687,0.603,False
42,Harnett,134986.0,12060,0.3871,False
43,Haywood,62831.0,4496,0.091,False
44,Henderson,117429.0,10310,0.1903,False
45,Hertford,20374.0,2116,0.6463,False
46,Hoke,53783.0,4902,0.5962,False
47,Hyde,4595.0,671,0.3559,False
48,Iredell,192986.0,19279,0.2535,False
49,Jackson,41919.0,3661,0.2246,False
50,Johnston,224833.0,22280,0.3406,False
51,Jones,9076.0,899,0.3603,False
52,Lee,64360.0,6155,0.393,False
53,Lenoir,54323.0,6269,0.5081,False
54,Lincoln,88742.0,10286,0.1624,False
55,Macon,37041.0,3167,0.1328,False
56,Madison,21146.0,1602,0.0859,False
57,Martin,21503.0,2325,0.4724,False
58,McDowell,44151.0,5291,0.1396,False
59,Mecklenburg,1128426.0,114680,0.5333,False
60,Mitchell,14783.0,1479,0.0832,False
61,Montgomery,25485.0,3383,0.3431,False
62,Moore,102966.0,9062,0.2278,False
63,Nash,96101.0,11709,0.5011,False
64,New Hanover,230423.0,19557,0.2431,False
65,Northampton,16953.0,1894,0.6042,False
66,Onslow,207928.0,17891,0.33,False
67,Orange,148331.0,8596,0.3336,False
68,Pamlico,12215.0,1119,0.2493,False
69,Pasquotank,40966.0,3443,0.4572,False
70,Pender,62250.0,5557,0.2475,False
71,Perquimans,13049.0,1037,0.2763,False
72,Person,39048.0,3511,0.3464,False
73,Pitt,173536.0,20504,0.4785,False
74,Polk,19461.0,1501,0.1239,False
75,Randolph,143325.0,15346,0.2269,False
76,Richmond,43006.0,4818,0.4419,False
77,Robeson,115899.0,16880,0.7422,False
78,Rockingham,90457.0,8099,0.2817,False
79,Rowan,148565.0,17248,0.3008,False
80,Rutherford,63870.0,7448,0.1806,False
81,Sampson,58371.0,8160,0.4706,False
82,Scotland,33662.0,3908,0.5786,False
83,Stanly,62143.0,7931,0.2137,False
84,Stokes,44422.0,4235,0.1023,False
85,Surry,70573.0,8407,0.1689,False
86,Swain,14046.0,1210,0.3881,False
87,Transylvania,32825.0,2386,0.1221,False
88,Tyrrell,3315.0,326,0.4136,False
89,Union,244960.0,24933,0.3051,False
90,Vance,41665.0,4995,0.6082,False
91,Wake,1154170.0,90342,0.4122,False
92,Warren,18621.0,1819,0.6109,False
93,Washington,10708.0,1140,0.5457,False
94,Watauga,54804.0,5025,0.1546,False
95,Wayne,115895.0,11492,0.4677,False
96,Wilkes,65151.0,6952,0.1344,False
97,Wilson,79078.0,9924,0.526,False
98,Yadkin,36925.0,4136,0.1712,False
99,Yancey,18320.0,1640,0.0868,False
100,Alamance,175029.0,19042,0.3825,False
101,Alexander,36172.0,4456,0.1416,False
102,Alleghany,11057.0,1095,0.1234,False
103,Anson,22028.0,2638,0.5152,False
104,Ashe,26506.0,2252,0.0806,False
105,Avery,17347.0,2164,0.1157,False
106,Beaufort,44150.0,4791,0.3322,False
107,Bertie,17302.0,1795,0.6465,False
108,Bladen,29171.0,3516,0.4561,False
109,Brunswick,144821.0,9342,0.1784,False
110,Buncombe,271638.0,18089,0.1877,False
111,Burke,88398.0,10152,0.2044,False
112,Cabarrus,232873.0,22396,0.3899,False
113,Caldwell,81319.0,9521,0.1462,False
114,Camden,10537.0,695,0.1973,False
115,Carteret,69039.0,5261,0.1393,False
116,Caswell,22400.0,2200,0.374,False
117,Catawba,162841.0,19823,0.2594,False
118,Chatham,77095.0,4756,0.2865,False
119,Cherokee,28738.0,2638,0.1089,False
120,Chowan,13646.0,1488,0.3908,False
121,Clay,11238.0,906,0.0847,False
122,Cleveland,99332.0,11717,0.2858,False
123,Columbus,49795.0,6459,0.3999,False
124,Craven,102568.0,9470,0.3377,False
125,Cumberland,341793.0,30343,0.576,False
126,Currituck,29385.0,1580,0.1502,False
127,Dare,37817.0,2191,0.1215,False
128,Davidson,171752.0,17032,0.2191,False
129,Davie,43127.0,4180,0.1726,False
130,Duplin,48249.0,6387,0.4646,False
131,Durham,331347.0,25979,0.5714,False
132,Edgecombe,48604.0,5704,0.6394,False
133,Forsyth,387703.0,37030,0.4384,False
134,Franklin,70655.0,7047,0.366,False
135,Gaston,233387.0,27198,0.3121,False
136,Gates,10324.0,749,0.3546,False
137,Graham,7935.0,666,0.1391,False
138,Granville,60720.0,5991,0.4331,False
139,Greene,19978.0,2421,0.5114,False
140,Guilford,545484.0,48742,0.5133,False
141,Halifax,47859.0,5686,0.603,False
142,Harnett,134986.0,12069,0.3871,False
143,Haywood,62831.0,4498,0.091,False
144,Henderson,117429.0,10314,0.1903,False
145,Hertford,20374.0,2117,0.6463,False
146,Hoke,53783.0,4908,0.5962,False
147,Hyde,4595.0,671,0.3559,False
148,Iredell,192986.0,19284,0.2535,False
149,Jackson,41919.0,3660,0.2246,False
150,Johnston,224833.0,22291,0.3406,False
151,Jones,9076.0,899,0.3603,False
152,Lee,64360.0,6154,0.393,False
153,Lenoir,54323.0,6270,0.5081,False
154,Lincoln,88742.0,10289,0.1624,False
155,Macon,37041.0,3166,0.1328,False
156,Madison,21146.0,1601,0.0859,False
157,Martin,21503.0,2329,0.4724,False
158,McDowell,44151.0,5289,0.1396,False
159,Mecklenburg,1128426.0,114737,0.5333,False
160,Mitchell,14783.0,1480,0.0832,False
161,Montgomery,25485.0,3384,0.3431,False
162,Moore,102966.0,9067,0.2278,False
163,Nash,96101.0,11709,0.5011,False
164,New Hanover,230423.0,19559,0.2431,False
165,Northampton,16953.0,1895,0.6042,False
166,Onslow,207928.0,17902,0.33,False
167,Orange,148331.0,8601,0.3336,False
168,Pamlico,12215.0,1119,0.2493,False
169,Pasquotank,40966.0,3451,0.4572,False
170,Pender,62250.0,5554,0.2475,False
171,Perquimans,13049.0,1037,0.2763,False
172,Person,39048.0,3513,0.3464,False
173,Pitt,173536.0,20514,0.4785,False
174,Polk,19461.0,1500,0.1239,False
175,Randolph,143325.0,15352,0.2269,False
176,Richmond,43006.0,4828,0.4419,False
177,Robeson,115899.0,16886,0.7422,False
