,county,region,date_count,pop_dens,Population,cases,weeklyper100k,Hotspot_2
18110,Buncombe,Western,182,410.4,271638.0,18087,5.52,False
18210,Buncombe,Western,183,410.4,271638.0,18089,4.79,False
18310,Buncombe,Western,184,410.4,271638.0,18089,4.79,False
18410,Buncombe,Western,185,410.4,271638.0,18089,4.79,False
18510,Buncombe,Western,186,410.4,271638.0,18089,1.47,False
18610,Buncombe,Western,187,410.4,271638.0,18115,10.68,False
18710,Buncombe,Western,188,410.4,271638.0,18128,13.99,False
18810,Buncombe,Western,189,410.4,271638.0,18137,18.41,False
18910,Buncombe,Western,190,410.4,271638.0,18151,22.82,False
19010,Buncombe,Western,191,410.4,271638.0,18151,22.82,False
19110,Buncombe,Western,192,410.4,271638.0,18151,22.82,False
19210,Buncombe,Western,193,410.4,271638.0,18186,35.71,False
19310,Buncombe,Western,194,410.4,271638.0,18192,28.35,False
19410,Buncombe,Western,195,410.4,271638.0,18217,32.76,False
19510,Buncombe,Western,196,410.4,271638.0,18228,33.5,False
19610,Buncombe,Western,197,410.4,271638.0,18257,39.02,False
19710,Buncombe,Western,198,410.4,271638.0,18257,39.02,False
19810,Buncombe,Western,199,410.4,271638.0,18257,39.02,False
19910,Buncombe,Western,200,410.4,271638.0,18313,46.75,False
20010,Buncombe,Western,201,410.4,271638.0,18331,51.17,False
20110,Buncombe,Western,202,410.4,271638.0,18349,48.59,False
20210,Buncombe,Western,203,410.4,271638.0,18385,57.8,False
20310,Buncombe,Western,204,410.4,271638.0,18421,60.37,False
20410,Buncombe,Western,205,410.4,271638.0,18421,60.37,False
20510,Buncombe,Western,206,410.4,271638.0,18421,60.37,False
20610,Buncombe,Western,207,410.4,271638.0,18538,82.83,False
20710,Buncombe,Western,208,410.4,271638.0,18571,88.35,False
20810,Buncombe,Western,209,410.4,271638.0,18620,99.77,False
20910,Buncombe,Western,210,410.4,271638.0,18681,108.97,True
21010,Buncombe,Western,211,410.4,271638.0,18749,120.75,True
