,Population,region,pop_dens,Hotspot_2
18154,88742.0,Central,293.4,False
18254,88742.0,Central,293.4,False
18354,88742.0,Central,293.4,False
18454,88742.0,Central,293.4,False
18554,88742.0,Central,293.4,False
18654,88742.0,Central,293.4,False
18754,88742.0,Central,293.4,False
18854,88742.0,Central,293.4,False
18954,88742.0,Central,293.4,False
19054,88742.0,Central,293.4,False
19154,88742.0,Central,293.4,False
19254,88742.0,Central,293.4,False
19354,88742.0,Central,293.4,False
19454,88742.0,Central,293.4,False
19554,88742.0,Central,293.4,False
19654,88742.0,Central,293.4,False
19754,88742.0,Central,293.4,False
19854,88742.0,Central,293.4,False
19954,88742.0,Central,293.4,False
20054,88742.0,Central,293.4,False
20154,88742.0,Central,293.4,False
20254,88742.0,Central,293.4,False
20354,88742.0,Central,293.4,False
20454,88742.0,Central,293.4,False
20554,88742.0,Central,293.4,False
20654,88742.0,Central,293.4,True
20754,88742.0,Central,293.4,True
20854,88742.0,Central,293.4,True
20954,88742.0,Central,293.4,True
21054,88742.0,Central,293.4,True
21154,88742.0,Central,293.4,True
21254,88742.0,Central,293.4,True
21354,88742.0,Central,293.4,True
21454,88742.0,Central,293.4,True
21554,88742.0,Central,293.4,True
21654,88742.0,Central,293.4,True
21754,88742.0,Central,293.4,True
21854,88742.0,Central,293.4,True
21954,88742.0,Central,293.4,True
22054,88742.0,Central,293.4,True
22154,88742.0,Central,293.4,True
22254,88742.0,Central,293.4,True
22354,88742.0,Central,293.4,True
22454,88742.0,Central,293.4,True
22554,88742.0,Central,293.4,True
22654,88742.0,Central,293.4,True
22754,88742.0,Central,293.4,True
22854,88742.0,Central,293.4,True
22954,88742.0,Central,293.4,True
23054,88742.0,Central,293.4,True
23154,88742.0,Central,293.4,True
23254,88742.0,Central,293.4,True
23354,88742.0,Central,293.4,True
23454,88742.0,Central,293.4,True
23554,88742.0,Central,293.4,True
23654,88742.0,Central,293.4,True
23754,88742.0,Central,293.4,True
23854,88742.0,Central,293.4,True
23954,88742.0,Central,293.4,True
24054,88742.0,Central,293.4,True
24154,88742.0,Central,293.4,True
24254,88742.0,Central,293.4,True
24354,88742.0,Central,293.4,True
24454,88742.0,Central,293.4,True
24554,88742.0,Central,293.4,True
24654,88742.0,Central,293.4,True
24754,88742.0,Central,293.4,True
24854,88742.0,Central,293.4,True
24954,88742.0,Central,293.4,True
25054,88742.0,Central,293.4,True
25154,88742.0,Central,293.4,True
25254,88742.0,Central,293.4,True
25354,88742.0,Central,293.4,True
25454,88742.0,Central,293.4,True
25554,88742.0,Central,293.4,True
25654,88742.0,Central,293.4,True
25754,88742.0,Central,293.4,True
25854,88742.0,Central,293.4,True
25954,88742.0,Central,293.4,True
26054,88742.0,Central,293.4,True
26154,88742.0,Central,293.4,True
26254,88742.0,Central,293.4,True
26354,88742.0,Central,293.4,True
26454,88742.0,Central,293.4,True
26554,88742.0,Central,293.4,True
26654,88742.0,Central,293.4,True
26754,88742.0,Central,293.4,True
26854,88742.0,Central,293.4,True
26954,88742.0,Central,293.4,True
27054,88742.0,Central,293.4,True
27154,88742.0,Central,293.4,True
27254,88742.0,Central,293.4,True
27354,88742.0,Central,293.4,True
27454,88742.0,Central,293.4,True
27554,88742.0,Central,293.4,True
27654,88742.0,Central,293.4,True
27754,88742.0,Central,293.4,True
27854,88742.0,Central,293.4,True
27954,88742.0,Central,293.4,True
28054,88742.0,Central,293.4,True
28154,88742.0,Central,293.4,True
28254,88742.0,Central,293.4,True
28354,88742.0,Central,293.4,True
28454,88742.0,Central,293.4,True
28554,88742.0,Central,293.4,True
28654,88742.0,Central,293.4,True
28754,88742.0,Central,293.4,True
28854,88742.0,Central,293.4,True
28954,88742.0,Central,293.4,True
29054,88742.0,Central,293.4,True
29154,88742.0,Central,293.4,True
29254,88742.0,Central,293.4,True
29354,88742.0,Central,293.4,True
29454,88742.0,Central,293.4,True
29554,88742.0,Central,293.4,True
29654,88742.0,Central,293.4,True
29754,88742.0,Central,293.4,True
29854,88742.0,Central,293.4,True
29954,88742.0,Central,293.4,True
30054,88742.0,Central,293.4,True
30154,88742.0,Central,293.4,True
30254,88742.0,Central,293.4,True
30354,88742.0,Central,293.4,True
30454,88742.0,Central,293.4,True
30554,88742.0,Central,293.4,True
30654,88742.0,Central,293.4,True
30754,88742.0,Central,293.4,True
30854,88742.0,Central,293.4,True
30954,88742.0,Central,293.4,True
31054,88742.0,Central,293.4,True
31154,88742.0,Central,293.4,True
31254,88742.0,Central,293.4,True
31354,88742.0,Central,293.4,True
31454,88742.0,Central,293.4,True
31554,88742.0,Central,293.4,True
31654,88742.0,Central,293.4,True
31754,88742.0,Central,293.4,True
31854,88742.0,Central,293.4,True
31954,88742.0,Central,293.4,True
32054,88742.0,Central,293.4,True
32154,88742.0,Central,293.4,True
32254,88742.0,Central,293.4,True
32354,88742.0,Central,293.4,True
32454,88742.0,Central,293.4,True
32554,88742.0,Central,293.4,True
32654,88742.0,Central,293.4,True
32754,88742.0,Central,293.4,True
32854,88742.0,Central,293.4,True
32954,88742.0,Central,293.4,True
33054,88742.0,Central,293.4,True
33154,88742.0,Central,293.4,True
33254,88742.0,Central,293.4,True
33354,88742.0,Central,293.4,True
33454,88742.0,Central,293.4,True
33554,88742.0,Central,293.4,True
18191,1154170.0,Eastern,1353.3,False
18291,1154170.0,Eastern,1353.3,False
18391,1154170.0,Eastern,1353.3,False
18491,1154170.0,Eastern,1353.3,False
18591,1154170.0,Eastern,1353.3,False
18691,1154170.0,Eastern,1353.3,False
18791,1154170.0,Eastern,1353.3,False
18891,1154170.0,Eastern,1353.3,False
18991,1154170.0,Eastern,1353.3,False
19091,1154170.0,Eastern,1353.3,False
19191,1154170.0,Eastern,1353.3,False
19291,1154170.0,Eastern,1353.3,False
19391,1154170.0,Eastern,1353.3,False
19491,1154170.0,Eastern,1353.3,False
19591,1154170.0,Eastern,1353.3,False
19691,1154170.0,Eastern,1353.3,False
19791,1154170.0,Eastern,1353.3,False
19891,1154170.0,Eastern,1353.3,False
19991,1154170.0,Eastern,1353.3,False
20091,1154170.0,Eastern,1353.3,False
20191,1154170.0,Eastern,1353.3,False
20291,1154170.0,Eastern,1353.3,False
20391,1154170.0,Eastern,1353.3,False
20491,1154170.0,Eastern,1353.3,False
20591,1154170.0,Eastern,1353.3,False
20691,1154170.0,Eastern,1353.3,False
20791,1154170.0,Eastern,1353.3,True
20891,1154170.0,Eastern,1353.3,True
20991,1154170.0,Eastern,1353.3,True
21091,1154170.0,Eastern,1353.3,True
21191,1154170.0,Eastern,1353.3,True
21291,1154170.0,Eastern,1353.3,True
21391,1154170.0,Eastern,1353.3,True
21491,1154170.0,Eastern,1353.3,True
21591,1154170.0,Eastern,1353.3,True
21691,1154170.0,Eastern,1353.3,True
21791,1154170.0,Eastern,1353.3,True
21891,1154170.0,Eastern,1353.3,True
21991,1154170.0,Eastern,1353.3,True
22091,1154170.0,Eastern,1353.3,True
22191,1154170.0,Eastern,1353.3,True
22291,1154170.0,Eastern,1353.3,True
22391,1154170.0,Eastern,1353.3,True
22491,1154170.0,Eastern,1353.3,True
22591,1154170.0,Eastern,1353.3,True
22691,1154170.0,Eastern,1353.3,True
22791,1154170.0,Eastern,1353.3,True
22891,1154170.0,Eastern,1353.3,True
22991,1154170.0,Eastern,1353.3,True
23091,1154170.0,Eastern,1353.3,True
23191,1154170.0,Eastern,1353.3,True
23291,1154170.0,Eastern,1353.3,True
23391,1154170.0,Eastern,1353.3,True
23491,1154170.0,Eastern,1353.3,True
23591,1154170.0,Eastern,1353.3,True
23691,1154170.0,Eastern,1353.3,True
23791,1154170.0,Eastern,1353.3,True
23891,1154170.0,Eastern,1353.3,True
23991,1154170.0,Eastern,1353.3,True
24091,1154170.0,Eastern,1353.3,True
24191,1154170.0,Eastern,1353.3,True
24291,1154170.0,Eastern,1353.3,True
24391,1154170.0,Eastern,1353.3,True
24491,1154170.0,Eastern,1353.3,True
24591,1154170.0,Eastern,1353.3,True
24691,1154170.0,Eastern,1353.3,True
24791,1154170.0,Eastern,1353.3,True
24891,1154170.0,Eastern,1353.3,True
24991,1154170.0,Eastern,1353.3,True
25091,1154170.0,Eastern,1353.3,True
25191,1154170.0,Eastern,1353.3,True
25291,1154170.0,Eastern,1353.3,True
25391,1154170.0,Eastern,1353.3,True
25491,1154170.0,Eastern,1353.3,True
25591,1154170.0,Eastern,1353.3,True
25691,1154170.0,Eastern,1353.3,True
25791,1154170.0,Eastern,1353.3,True
25891,1154170.0,Eastern,1353.3,True
25991,1154170.0,Eastern,1353.3,True
26091,1154170.0,Eastern,1353.3,True
26191,1154170.0,Eastern,1353.3,True
26291,1154170.0,Eastern,1353.3,True
26391,1154170.0,Eastern,1353.3,True
26491,1154170.0,Eastern,1353.3,True
26591,1154170.0,Eastern,1353.3,True
26691,1154170.0,Eastern,1353.3,True
26791,1154170.0,Eastern,1353.3,True
26891,1154170.0,Eastern,1353.3,True
26991,1154170.0,Eastern,1353.3,True
27091,1154170.0,Eastern,1353.3,True
27191,1154170.0,Eastern,1353.3,True
27291,1154170.0,Eastern,1353.3,True
27391,1154170.0,Eastern,1353.3,True
27491,1154170.0,Eastern,1353.3,True
27591,1154170.0,Eastern,1353.3,True
27691,1154170.0,Eastern,1353.3,True
27791,1154170.0,Eastern,1353.3,True
27891,1154170.0,Eastern,1353.3,True
27991,1154170.0,Eastern,1353.3,True
28091,1154170.0,Eastern,1353.3,False
28191,1154170.0,Eastern,1353.3,False
28291,1154170.0,Eastern,1353.3,False
28391,1154170.0,Eastern,1353.3,True
28491,1154170.0,Eastern,1353.3,True
