,county,date_number,Population,region_Central,region_Eastern,region_Western,pop_dens,tranlevel
0,Alamance,1,175029.0,False,False,False,404.8,Low
65,Northampton,1,16953.0,False,True,False,32.6,Low
3,Anson,1,22028.0,True,False,False,41.5,Low
17,Catawba,1,162841.0,False,False,False,400.2,Low
89,Union,1,244960.0,True,False,False,376.6,Low
29,Davie,1,43127.0,False,False,False,162.0,Low
30,Duplin,1,48249.0,False,False,False,59.8,Low
64,New Hanover,1,230423.0,False,False,False,1174.0,Low
31,Durham,1,331347.0,False,True,False,1133.7,Low
63,Nash,1,96101.0,False,False,False,175.7,Low
99,Yancey,1,18320.0,False,False,True,59.1,Low
76,Richmond,1,43006.0,False,True,False,90.7,Low
94,Watauga,1,54804.0,False,False,False,173.1,Low
4,Ashe,1,26506.0,False,False,False,62.3,Low
62,Moore,1,102966.0,False,True,False,142.9,Low
88,Tyrrell,1,3315.0,False,False,False,8.3,Low
32,Edgecombe,1,48604.0,False,False,False,96.7,Low
61,Montgomery,1,25485.0,False,True,False,52.4,Low
77,Robeson,1,115899.0,False,False,False,123.0,Low
33,Forsyth,1,387703.0,False,False,False,938.1,Low
60,Mitchell,1,14783.0,False,False,True,67.4,Low
16,Caswell,1,22400.0,False,True,False,53.5,Low
28,Davidson,1,171752.0,False,False,False,305.4,Low
75,Randolph,1,143325.0,False,False,False,184.3,Low
66,Onslow,1,207928.0,False,False,False,268.4,Low
72,Person,1,39048.0,False,True,False,99.7,Low
22,Cleveland,1,99332.0,False,False,True,214.4,Low
71,Perquimans,1,13049.0,False,False,False,52.6,Low
73,Pitt,1,173536.0,False,False,False,261.0,Low
23,Columbus,1,49795.0,False,False,False,54.0,Low
1,Alexander,1,36172.0,False,False,False,140.2,Low
19,Cherokee,1,28738.0,False,False,True,63.2,Low
70,Pender,1,62250.0,False,False,False,69.1,Low
93,Washington,1,10708.0,False,False,False,31.8,Low
69,Pasquotank,1,40966.0,False,False,False,178.8,Low
74,Polk,1,19461.0,False,False,True,81.3,Low
91,Wake,1,1154170.0,False,True,False,1353.3,Low
