,Unnamed: 0,date,county,state,fips,cases,deaths,Population,casesprop,deathsprop,dailycase,weeklycase,dailydeath,weeklydeath,weeklyper100k,tranlevel,population_density_per_sq_mile,Minority_pct,region,pop_dens,Hotspot,Hotspot_in_2_weeks
0,0,2021-07-01,Alamance,North Carolina,37001.0,19035,289.0,175029.0,0.1088,0.0017,0.0,0.0,0.0,0.0,0.0,Low,404.8,0.3825,Northern,404.8,False,False
100,100,2021-07-02,Alamance,North Carolina,37001.0,19042,289.0,175029.0,0.1088,0.0017,7.0,0.0,0.0,0.0,0.0,Low,404.8,0.3825,Northern,404.8,False,False
200,200,2021-07-03,Alamance,North Carolina,37001.0,19042,289.0,175029.0,0.1088,0.0017,0.0,0.0,0.0,0.0,0.0,Low,404.8,0.3825,Northern,404.8,False,False
300,300,2021-07-04,Alamance,North Carolina,37001.0,19042,289.0,175029.0,0.1088,0.0017,0.0,0.0,0.0,0.0,0.0,Low,404.8,0.3825,Northern,404.8,False,False
400,400,2021-07-05,Alamance,North Carolina,37001.0,19042,289.0,175029.0,0.1088,0.0017,0.0,0.0,0.0,0.0,0.0,Low,404.8,0.3825,Northern,404.8,False,False
500,500,2021-07-06,Alamance,North Carolina,37001.0,19065,288.0,175029.0,0.1089,0.0016,23.0,0.0,-1.0,0.0,0.0,Low,404.8,0.3825,Northern,404.8,False,True
600,600,2021-07-07,Alamance,North Carolina,37001.0,19069,288.0,175029.0,0.1089,0.0016,4.0,0.0,0.0,0.0,0.0,Low,404.8,0.3825,Northern,404.8,False,True
700,700,2021-07-08,Alamance,North Carolina,37001.0,19078,288.0,175029.0,0.109,0.0016,9.0,43.0,0.0,-1.0,24.57,Moderate,404.8,0.3825,Northern,404.8,False,True
791,800,2021-07-09,Alamance,North Carolina,37001.0,19078,288.0,175029.0,0.109,0.0016,0.0,36.0,0.0,-1.0,20.57,Moderate,404.8,0.3825,Northern,404.8,False,True
886,900,2021-07-10,Alamance,North Carolina,37001.0,19078,288.0,175029.0,0.109,0.0016,0.0,36.0,0.0,-1.0,20.57,Moderate,404.8,0.3825,Northern,404.8,False,True
981,1000,2021-07-11,Alamance,North Carolina,37001.0,19078,288.0,175029.0,0.109,0.0016,0.0,36.0,0.0,-1.0,20.57,Moderate,404.8,0.3825,Northern,404.8,False,True
1076,1100,2021-07-12,Alamance,North Carolina,37001.0,19106,288.0,175029.0,0.1092,0.0016,28.0,64.0,0.0,-1.0,36.57,Moderate,404.8,0.3825,Northern,404.8,False,True
1171,1200,2021-07-13,Alamance,North Carolina,37001.0,19108,288.0,175029.0,0.1092,0.0016,2.0,43.0,0.0,0.0,24.57,Moderate,404.8,0.3825,Northern,404.8,False,True
1268,1300,2021-07-14,Alamance,North Carolina,37001.0,19124,288.0,175029.0,0.1093,0.0016,16.0,55.0,0.0,0.0,31.42,Moderate,404.8,0.3825,Northern,404.8,False,True
1366,1400,2021-07-15,Alamance,North Carolina,37001.0,19132,288.0,175029.0,0.1093,0.0016,8.0,54.0,0.0,0.0,30.85,Moderate,404.8,0.3825,Northern,404.8,False,True
1465,1500,2021-07-16,Alamance,North Carolina,37001.0,19149,288.0,175029.0,0.1094,0.0016,17.0,71.0,0.0,0.0,40.56,Moderate,404.8,0.3825,Northern,404.8,False,True
1565,1600,2021-07-17,Alamance,North Carolina,37001.0,19149,288.0,175029.0,0.1094,0.0016,0.0,71.0,0.0,0.0,40.56,Moderate,404.8,0.3825,Northern,404.8,False,True
1665,1700,2021-07-18,Alamance,North Carolina,37001.0,19149,288.0,175029.0,0.1094,0.0016,0.0,71.0,0.0,0.0,40.56,Moderate,404.8,0.3825,Northern,404.8,False,True
1765,1800,2021-07-19,Alamance,North Carolina,37001.0,19182,288.0,175029.0,0.1096,0.0016,33.0,76.0,0.0,0.0,43.42,Moderate,404.8,0.3825,Northern,404.8,False,True
1864,1900,2021-07-20,Alamance,North Carolina,37001.0,19197,288.0,175029.0,0.1097,0.0016,15.0,89.0,0.0,0.0,50.85,Substantial,404.8,0.3825,Northern,404.8,True,True
1963,2000,2021-07-21,Alamance,North Carolina,37001.0,19221,288.0,175029.0,0.1098,0.0016,24.0,97.0,0.0,0.0,55.42,Substantial,404.8,0.3825,Northern,404.8,True,True
2063,2100,2021-07-22,Alamance,North Carolina,37001.0,19240,288.0,175029.0,0.1099,0.0016,19.0,108.0,0.0,0.0,61.7,Substantial,404.8,0.3825,Northern,404.8,True,True
2163,2200,2021-07-23,Alamance,North Carolina,37001.0,19252,288.0,175029.0,0.11,0.0016,12.0,103.0,0.0,0.0,58.85,Substantial,404.8,0.3825,Northern,404.8,True,True
2263,2300,2021-07-24,Alamance,North Carolina,37001.0,19252,288.0,175029.0,0.11,0.0016,0.0,103.0,0.0,0.0,58.85,Substantial,404.8,0.3825,Northern,404.8,True,True
2363,2400,2021-07-25,Alamance,North Carolina,37001.0,19252,288.0,175029.0,0.11,0.0016,0.0,103.0,0.0,0.0,58.85,Substantial,404.8,0.3825,Northern,404.8,True,True
2463,2500,2021-07-26,Alamance,North Carolina,37001.0,19300,288.0,175029.0,0.1103,0.0016,48.0,118.0,0.0,0.0,67.42,Substantial,404.8,0.3825,Northern,404.8,True,True
2563,2600,2021-07-27,Alamance,North Carolina,37001.0,19323,288.0,175029.0,0.1104,0.0016,23.0,126.0,0.0,0.0,71.99,Substantial,404.8,0.3825,Northern,404.8,True,True
2663,2700,2021-07-28,Alamance,North Carolina,37001.0,19345,288.0,175029.0,0.1105,0.0016,22.0,124.0,0.0,0.0,70.85,Substantial,404.8,0.3825,Northern,404.8,True,True
2763,2800,2021-07-29,Alamance,North Carolina,37001.0,19368,288.0,175029.0,0.1107,0.0016,23.0,128.0,0.0,0.0,73.13,Substantial,404.8,0.3825,Northern,404.8,True,True
2863,2900,2021-07-30,Alamance,North Carolina,37001.0,19413,288.0,175029.0,0.1109,0.0016,45.0,161.0,0.0,0.0,91.98,Substantial,404.8,0.3825,Northern,404.8,True,True
2963,3000,2021-07-31,Alamance,North Carolina,37001.0,19413,288.0,175029.0,0.1109,0.0016,0.0,161.0,0.0,0.0,91.98,Substantial,404.8,0.3825,Northern,404.8,True,True
3063,3100,2021-08-01,Alamance,North Carolina,37001.0,19413,288.0,175029.0,0.1109,0.0016,0.0,161.0,0.0,0.0,91.98,Substantial,404.8,0.3825,Northern,404.8,True,True
3163,3200,2021-08-02,Alamance,North Carolina,37001.0,19516,288.0,175029.0,0.1115,0.0016,103.0,216.0,0.0,0.0,123.41,High,404.8,0.3825,Northern,404.8,True,True
3263,3300,2021-08-03,Alamance,North Carolina,37001.0,19552,288.0,175029.0,0.1117,0.0016,36.0,229.0,0.0,0.0,130.84,High,404.8,0.3825,Northern,404.8,True,True
3363,3400,2021-08-04,Alamance,North Carolina,37001.0,19607,288.0,175029.0,0.112,0.0016,55.0,262.0,0.0,0.0,149.69,High,404.8,0.3825,Northern,404.8,True,True
3463,3500,2021-08-05,Alamance,North Carolina,37001.0,19649,288.0,175029.0,0.1123,0.0016,42.0,281.0,0.0,0.0,160.54,High,404.8,0.3825,Northern,404.8,True,True
3563,3600,2021-08-06,Alamance,North Carolina,37001.0,19697,288.0,175029.0,0.1125,0.0016,48.0,284.0,0.0,0.0,162.26,High,404.8,0.3825,Northern,404.8,True,True
3663,3700,2021-08-07,Alamance,North Carolina,37001.0,19697,288.0,175029.0,0.1125,0.0016,0.0,284.0,0.0,0.0,162.26,High,404.8,0.3825,Northern,404.8,True,True
3763,3800,2021-08-08,Alamance,North Carolina,37001.0,19697,288.0,175029.0,0.1125,0.0016,0.0,284.0,0.0,0.0,162.26,High,404.8,0.3825,Northern,404.8,True,True
3863,3900,2021-08-09,Alamance,North Carolina,37001.0,19906,289.0,175029.0,0.1137,0.0017,209.0,390.0,1.0,1.0,222.82,High,404.8,0.3825,Northern,404.8,True,True
3963,4000,2021-08-10,Alamance,North Carolina,37001.0,19945,289.0,175029.0,0.114,0.0017,39.0,393.0,0.0,1.0,224.53,High,404.8,0.3825,Northern,404.8,True,True
4063,4100,2021-08-11,Alamance,North Carolina,37001.0,20012,289.0,175029.0,0.1143,0.0017,67.0,405.0,0.0,1.0,231.39,High,404.8,0.3825,Northern,404.8,True,True
4163,4200,2021-08-12,Alamance,North Carolina,37001.0,20079,289.0,175029.0,0.1147,0.0017,67.0,430.0,0.0,1.0,245.67,High,404.8,0.3825,Northern,404.8,True,True
4263,4300,2021-08-13,Alamance,North Carolina,37001.0,20202,289.0,175029.0,0.1154,0.0017,123.0,505.0,0.0,1.0,288.52,High,404.8,0.3825,Northern,404.8,True,True
4363,4400,2021-08-14,Alamance,North Carolina,37001.0,20202,289.0,175029.0,0.1154,0.0017,0.0,505.0,0.0,1.0,288.52,High,404.8,0.3825,Northern,404.8,True,True
4463,4500,2021-08-15,Alamance,North Carolina,37001.0,20202,289.0,175029.0,0.1154,0.0017,0.0,505.0,0.0,1.0,288.52,High,404.8,0.3825,Northern,404.8,True,True
4563,4600,2021-08-16,Alamance,North Carolina,37001.0,20380,289.0,175029.0,0.1164,0.0017,178.0,474.0,0.0,0.0,270.81,High,404.8,0.3825,Northern,404.8,True,True
4663,4700,2021-08-17,Alamance,North Carolina,37001.0,20422,289.0,175029.0,0.1167,0.0017,42.0,477.0,0.0,0.0,272.53,High,404.8,0.3825,Northern,404.8,True,True
4763,4800,2021-08-18,Alamance,North Carolina,37001.0,20505,289.0,175029.0,0.1172,0.0017,83.0,493.0,0.0,0.0,281.67,High,404.8,0.3825,Northern,404.8,True,True
4863,4900,2021-08-19,Alamance,North Carolina,37001.0,20641,289.0,175029.0,0.1179,0.0017,136.0,562.0,0.0,0.0,321.09,High,404.8,0.3825,Northern,404.8,True,True
4963,5000,2021-08-20,Alamance,North Carolina,37001.0,20735,290.0,175029.0,0.1185,0.0017,94.0,533.0,1.0,1.0,304.52,High,404.8,0.3825,Northern,404.8,True,True
5063,5100,2021-08-21,Alamance,North Carolina,37001.0,20735,290.0,175029.0,0.1185,0.0017,0.0,533.0,0.0,1.0,304.52,High,404.8,0.3825,Northern,404.8,True,True
5163,5200,2021-08-22,Alamance,North Carolina,37001.0,20735,290.0,175029.0,0.1185,0.0017,0.0,533.0,0.0,1.0,304.52,High,404.8,0.3825,Northern,404.8,True,True
5263,5300,2021-08-23,Alamance,North Carolina,37001.0,20954,291.0,175029.0,0.1197,0.0017,219.0,574.0,1.0,2.0,327.95,High,404.8,0.3825,Northern,404.8,True,True
5363,5400,2021-08-24,Alamance,North Carolina,37001.0,21022,291.0,175029.0,0.1201,0.0017,68.0,600.0,0.0,2.0,342.8,High,404.8,0.3825,Northern,404.8,True,True
5463,5500,2021-08-25,Alamance,North Carolina,37001.0,21083,292.0,175029.0,0.1205,0.0017,61.0,578.0,1.0,3.0,330.23,High,404.8,0.3825,Northern,404.8,True,True
5563,5600,2021-08-26,Alamance,North Carolina,37001.0,21220,292.0,175029.0,0.1212,0.0017,137.0,579.0,0.0,3.0,330.8,High,404.8,0.3825,Northern,404.8,True,True
5663,5700,2021-08-27,Alamance,North Carolina,37001.0,21332,292.0,175029.0,0.1219,0.0017,112.0,597.0,0.0,2.0,341.09,High,404.8,0.3825,Northern,404.8,True,True
5763,5800,2021-08-28,Alamance,North Carolina,37001.0,21332,292.0,175029.0,0.1219,0.0017,0.0,597.0,0.0,2.0,341.09,High,404.8,0.3825,Northern,404.8,True,True
5863,5900,2021-08-29,Alamance,North Carolina,37001.0,21332,292.0,175029.0,0.1219,0.0017,0.0,597.0,0.0,2.0,341.09,High,404.8,0.3825,Northern,404.8,True,True
5963,6000,2021-08-30,Alamance,North Carolina,37001.0,21680,294.0,175029.0,0.1239,0.0017,348.0,726.0,2.0,3.0,414.79,High,404.8,0.3825,Northern,404.8,True,True
6063,6100,2021-08-31,Alamance,North Carolina,37001.0,21733,294.0,175029.0,0.1242,0.0017,53.0,711.0,0.0,3.0,406.22,High,404.8,0.3825,Northern,404.8,True,True
6163,6200,2021-09-01,Alamance,North Carolina,37001.0,21835,297.0,175029.0,0.1248,0.0017,102.0,752.0,3.0,5.0,429.64,High,404.8,0.3825,Northern,404.8,True,True
6263,6300,2021-09-02,Alamance,North Carolina,37001.0,21966,297.0,175029.0,0.1255,0.0017,131.0,746.0,0.0,5.0,426.22,High,404.8,0.3825,Northern,404.8,True,True
6363,6400,2021-09-03,Alamance,North Carolina,37001.0,22091,298.0,175029.0,0.1262,0.0017,125.0,759.0,1.0,6.0,433.64,High,404.8,0.3825,Northern,404.8,True,True
6463,6500,2021-09-04,Alamance,North Carolina,37001.0,22091,298.0,175029.0,0.1262,0.0017,0.0,759.0,0.0,6.0,433.64,High,404.8,0.3825,Northern,404.8,True,True
6563,6600,2021-09-05,Alamance,North Carolina,37001.0,22091,298.0,175029.0,0.1262,0.0017,0.0,759.0,0.0,6.0,433.64,High,404.8,0.3825,Northern,404.8,True,True
6663,6700,2021-09-06,Alamance,North Carolina,37001.0,22091,298.0,175029.0,0.1262,0.0017,0.0,411.0,0.0,4.0,234.82,High,404.8,0.3825,Northern,404.8,True,True
6763,6800,2021-09-07,Alamance,North Carolina,37001.0,22485,299.0,175029.0,0.1285,0.0017,394.0,752.0,1.0,5.0,429.64,High,404.8,0.3825,Northern,404.8,True,True
6863,6900,2021-09-08,Alamance,North Carolina,37001.0,22594,299.0,175029.0,0.1291,0.0017,109.0,759.0,0.0,2.0,433.64,High,404.8,0.3825,Northern,404.8,True,True
6963,7000,2021-09-09,Alamance,North Carolina,37001.0,22690,306.0,175029.0,0.1296,0.0017,96.0,724.0,7.0,9.0,413.65,High,404.8,0.3825,Northern,404.8,True,True
7063,7100,2021-09-10,Alamance,North Carolina,37001.0,22767,306.0,175029.0,0.1301,0.0017,77.0,676.0,0.0,8.0,386.22,High,404.8,0.3825,Northern,404.8,True,True
7163,7200,2021-09-11,Alamance,North Carolina,37001.0,22767,306.0,175029.0,0.1301,0.0017,0.0,676.0,0.0,8.0,386.22,High,404.8,0.3825,Northern,404.8,True,True
7263,7300,2021-09-12,Alamance,North Carolina,37001.0,22767,306.0,175029.0,0.1301,0.0017,0.0,676.0,0.0,8.0,386.22,High,404.8,0.3825,Northern,404.8,True,True
7363,7400,2021-09-13,Alamance,North Carolina,37001.0,23168,307.0,175029.0,0.1324,0.0018,401.0,1077.0,1.0,9.0,615.33,High,404.8,0.3825,Northern,404.8,True,True
7463,7500,2021-09-14,Alamance,North Carolina,37001.0,23234,307.0,175029.0,0.1327,0.0018,66.0,749.0,0.0,8.0,427.93,High,404.8,0.3825,Northern,404.8,True,True
7563,7600,2021-09-15,Alamance,North Carolina,37001.0,23408,307.0,175029.0,0.1337,0.0018,174.0,814.0,0.0,8.0,465.07,High,404.8,0.3825,Northern,404.8,True,True
